SMILES,amount of this SMILES, max, min, median, mean, MAD(eV), SD(eV), CV 
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccc2ccccc12,5,-0.172,-0.174,-0.173,-0.1728,0.01742,0.020363,-0.0043
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccc2cocc12,5,-0.165,-0.167,-0.165,-0.1658,0.02612,0.026662,-0.0059
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccc2cscc12,5,-0.165,-0.168,-0.166,-0.1666,0.03048,0.032654,-0.0072
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccc2nsnc12,5,-0.175,-0.176,-0.175,-0.1754,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1ccccc1,5,-0.171,-0.172,-0.172,-0.1716,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1ccccn1,5,-0.175,-0.175,-0.175,-0.175,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccnc1,5,-0.178,-0.178,-0.178,-0.178,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1ccco1,5,-0.165,-0.166,-0.166,-0.1656,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccs1,5,-0.167,-0.168,-0.168,-0.1676,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cncc2nsnc12,5,-0.181,-0.181,-0.181,-0.181,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cncs1,5,-0.175,-0.176,-0.176,-0.1756,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1nccc2nsnc12,5,-0.182,-0.182,-0.182,-0.182,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1nccs1,5,-0.175,-0.175,-0.175,-0.175,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1ncncn1,5,-0.191,-0.191,-0.191,-0.191,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2C=C[SiH2]c12,5,-0.172,-0.172,-0.172,-0.172,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2[SiH2]C=Cc12,5,-0.17,-0.171,-0.17,-0.1702,0.00871,0.010885,-0.0024
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2[nH]ccc12,5,-0.152,-0.153,-0.152,-0.1524,0.01306,0.013331,-0.0032
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2[se]ccc12,5,-0.163,-0.164,-0.163,-0.1634,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2c1c1ccccc1c1ccccc21,5,-0.168,-0.174,-0.173,-0.1724,0.04789,0.061089,-0.013
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2cc[nH]c12,5,-0.156,-0.156,-0.156,-0.156,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2cc[se]c12,5,-0.164,-0.164,-0.164,-0.164,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2ccoc12,5,-0.163,-0.163,-0.163,-0.163,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2ccsc12,5,-0.163,-0.164,-0.163,-0.1634,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2nccnc12,5,-0.17,-0.17,-0.17,-0.17,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2occc12,5,-0.163,-0.163,-0.163,-0.163,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1scc2sccc12,5,-0.163,-0.164,-0.163,-0.1634,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3c([se]c4cc[se]c34)c12)C1=CC=C[SiH2]1,5,-0.167,-0.168,-0.167,-0.1674,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c([se]c4ccc5=C[SiH2]C=c5c34)c12)C1=CC=C[SiH2]1,5,-0.166,-0.167,-0.167,-0.1666,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c([se]c4ccc5c[nH]cc5c34)c12)C1=CC=C[SiH2]1,5,-0.158,-0.159,-0.158,-0.1584,0.01306,0.013331,-0.0031
C1C(=Cc2[se]c3c([se]c4ccc5ccccc5c34)c12)C1=CC=C[SiH2]1,5,-0.169,-0.17,-0.169,-0.1694,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c([se]c4ccc5cocc5c34)c12)C1=CC=C[SiH2]1,5,-0.166,-0.167,-0.166,-0.1664,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c([se]c4ccc5cscc5c34)c12)C1=CC=C[SiH2]1,5,-0.166,-0.167,-0.166,-0.1664,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c([se]c4ccc5nsnc5c34)c12)C1=CC=C[SiH2]1,5,-0.174,-0.175,-0.174,-0.1744,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c([se]c4ccccc34)c12)C1=CC=C[SiH2]1,5,-0.171,-0.172,-0.171,-0.1714,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c([se]c4cccnc34)c12)C1=CC=C[SiH2]1,5,-0.175,-0.176,-0.175,-0.1754,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c([se]c4ccoc34)c12)C1=CC=C[SiH2]1,5,-0.165,-0.166,-0.165,-0.1654,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3c([se]c4ccsc34)c12)C1=CC=C[SiH2]1,5,-0.167,-0.168,-0.167,-0.1674,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccc2=C[SiH2]C=c2c31)C1=CC=C[SiH2]1,5,-0.166,-0.166,-0.166,-0.166,0.0,0.0,-0.0
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccc2c[nH]cc2c31)C1=CC=C[SiH2]1,5,-0.158,-0.159,-0.158,-0.1584,0.01306,0.013331,-0.0031
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccc2ccccc2c31)C1=CC=C[SiH2]1,5,-0.168,-0.169,-0.168,-0.1684,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccc2cocc2c31)C1=CC=C[SiH2]1,5,-0.166,-0.166,-0.166,-0.166,0.0,0.0,-0.0
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccc2cscc2c31)C1=CC=C[SiH2]1,5,-0.166,-0.167,-0.166,-0.1664,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccc2nsnc2c31)C1=CC=C[SiH2]1,5,-0.172,-0.173,-0.172,-0.1724,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccccc31)C1=CC=C[SiH2]1,5,-0.17,-0.171,-0.17,-0.1704,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1cccnc31)C1=CC=C[SiH2]1,5,-0.172,-0.173,-0.172,-0.1724,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1=C[SiH2]C=c1c1ccncc31)C1=CC=C[SiH2]1,5,-0.176,-0.177,-0.176,-0.1764,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccc2=C[SiH2]C=c2c31)C1=CC=C[SiH2]1,5,-0.158,-0.159,-0.158,-0.1584,0.01306,0.013331,-0.0031
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccc2c[nH]cc2c31)C1=CC=C[SiH2]1,5,-0.15,-0.151,-0.15,-0.1504,0.01306,0.013331,-0.0033
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccc2ccccc2c31)C1=CC=C[SiH2]1,5,-0.161,-0.162,-0.161,-0.1614,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccc2cocc2c31)C1=CC=C[SiH2]1,5,-0.158,-0.158,-0.158,-0.158,0.0,0.0,-0.0
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccc2cscc2c31)C1=CC=C[SiH2]1,5,-0.158,-0.159,-0.158,-0.1584,0.01306,0.013331,-0.0031
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccc2nsnc2c31)C1=CC=C[SiH2]1,5,-0.164,-0.165,-0.164,-0.1644,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccccc31)C1=CC=C[SiH2]1,4,-0.162,-0.163,-0.1625,-0.1625,0.01361,0.013606,-0.0031
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1cccnc31)C1=CC=C[SiH2]1,5,-0.164,-0.165,-0.164,-0.1644,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3c(c12)c1c[nH]cc1c1ccncc31)C1=CC=C[SiH2]1,5,-0.168,-0.169,-0.168,-0.1684,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccc2=C[SiH2]C=c2c31)C1=CC=C[SiH2]1,4,-0.169,-0.17,-0.1695,-0.1695,0.01361,0.013606,-0.0029
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccc2c[nH]cc2c31)C1=CC=C[SiH2]1,5,-0.162,-0.162,-0.162,-0.162,0.0,0.0,-0.0
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccc2ccccc2c31)C1=CC=C[SiH2]1,5,-0.17,-0.172,-0.17,-0.1706,0.01959,0.021769,-0.0047
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccc2cocc2c31)C1=CC=C[SiH2]1,5,-0.169,-0.17,-0.169,-0.1694,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccc2cscc2c31)C1=CC=C[SiH2]1,5,-0.169,-0.17,-0.169,-0.1694,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccc2nsnc2c31)C1=CC=C[SiH2]1,5,-0.174,-0.175,-0.174,-0.1744,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccccc31)C1=CC=C[SiH2]1,5,-0.172,-0.173,-0.172,-0.1724,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1ccccc1c1cccnc31)C1=CC=C[SiH2]1,5,-0.173,-0.174,-0.173,-0.1734,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1ccccc1c1ccncc31)C1=CC=C[SiH2]1,5,-0.177,-0.178,-0.177,-0.1774,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccc2=C[SiH2]C=c2c31)C1=CC=C[SiH2]1,5,-0.166,-0.166,-0.166,-0.166,0.0,0.0,-0.0
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccc2c[nH]cc2c31)C1=CC=C[SiH2]1,5,-0.158,-0.158,-0.158,-0.158,0.0,0.0,-0.0
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccc2ccccc2c31)C1=CC=C[SiH2]1,5,-0.168,-0.169,-0.168,-0.1684,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccc2cocc2c31)C1=CC=C[SiH2]1,5,-0.165,-0.166,-0.165,-0.1654,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccc2cscc2c31)C1=CC=C[SiH2]1,5,-0.165,-0.166,-0.165,-0.1654,0.01306,0.013331,-0.003
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccc2nsnc2c31)C1=CC=C[SiH2]1,5,-0.171,-0.172,-0.172,-0.1716,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccccc31)C1=CC=C[SiH2]1,5,-0.169,-0.17,-0.169,-0.1694,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cocc1c1cccnc31)C1=CC=C[SiH2]1,5,-0.171,-0.172,-0.171,-0.1714,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cocc1c1ccncc31)C1=CC=C[SiH2]1,5,-0.175,-0.176,-0.175,-0.1754,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccc2=C[SiH2]C=c2c31)C1=CC=C[SiH2]1,4,-0.166,-0.167,-0.1665,-0.1665,0.01361,0.013606,-0.003
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccc2c[nH]cc2c31)C1=CC=C[SiH2]1,5,-0.158,-0.159,-0.158,-0.1584,0.01306,0.013331,-0.0031
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccc2ccccc2c31)C1=CC=C[SiH2]1,5,-0.168,-0.169,-0.168,-0.1684,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccc2cocc2c31)C1=CC=C[SiH2]1,5,-0.166,-0.167,-0.166,-0.1664,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccc2cscc2c31)C1=CC=C[SiH2]1,5,-0.166,-0.167,-0.166,-0.1664,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccc2nsnc2c31)C1=CC=C[SiH2]1,5,-0.172,-0.173,-0.172,-0.1724,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccccc31)C1=CC=C[SiH2]1,5,-0.17,-0.171,-0.17,-0.1704,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3c(c12)c1cscc1c1cccnc31)C1=CC=C[SiH2]1,5,-0.172,-0.173,-0.172,-0.1724,0.01306,0.013331,-0.0028
C1C(=Cc2[se]c3c(c12)c1cscc1c1ccncc31)C1=CC=C[SiH2]1,5,-0.175,-0.176,-0.175,-0.1754,0.01306,0.013331,-0.0028
